NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio;0;1
Delicias da Maju;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-maju-triunfo/67729780-47d0-4f36-9c88-b4f09776bd2e;1ª Travessa Santa Elizabete, 20 - Triunfo;Igarassu - PE;53625-754;35.954.636/0001-57;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - 14:45 às 20:45', 'Sábado - 14:30 às 20:30', 'Domingo - Não abre'];['coxinhas congelas de 18g', 'enroladinho mini', 'poções de mini salgados'];;
Casa da Pizza;https://www.ifood.com.br/delivery/igarassu-pe/casa-da-pizza-umbura/1d71f78d-78b5-43d7-b41d-2a383f0a6569;2ª Travessa Dom Manoel, 8 - Umbura;Igarassu - PE;53625-608;43.291.133/0001-77;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['pizzas salgadas', 'bebidas'];;
Boa Grelha;https://www.ifood.com.br/delivery/igarassu-pe/boa-grelha-umbura/a7422638-74f9-479d-8a6f-81d7727e8785;Rua do Comércio, 30 - Umbura;Igarassu - PE;53625-490;45.513.037/0001-51;['Segunda-feira - 17:00 às 22:00', 'Terça-feira - 17:00 às 22:00', 'Quarta-feira - Não abre', 'Quinta-feira - 17:00 às 22:00', 'Sexta-feira - 17:00 às 22:00', 'Sábado - 17:00 às 23:00', 'Domingo - 17:00 às 23:00'];['combos', 'sucos', 'porções de batata'];;
Tô Frita! Batatas no Cone;https://www.ifood.com.br/delivery/igarassu-pe/to-frita-batatas-no-cone-umbura/6d60e927-740d-46e1-a97d-56a097cf1dfd;Rua Manoel Faustino, 26 - Umbura;Igarassu - PE;53625-702;47.740.705/0001-09;['Segunda-feira - Não abre', 'Terça-feira - 16:00 às 21:00', 'Quarta-feira - 16:00 às 21:00', 'Quinta-feira - 16:00 às 21:00', 'Sexta-feira - 16:00 às 21:00', 'Sábado - 16:00 às 21:00', 'Domingo - 16:00 às 21:00'];"['promoção ""cupom de r$10""', 'batata frita artesanal no cone', 'hamburguer artesanal', 'refrigerante']";;
Japaa25;https://www.ifood.com.br/delivery/igarassu-pe/japaa25-cruz-de-reboucas/37f54359-7d08-4f16-bfc5-e43d6661bad0;Rodovia Br Cento e Um Norte, 832 - Cruz de Reboucas;Igarassu - PE;53640-000;32.019.243/0001-68;['Segunda-feira - Não abre', 'Terça-feira - 21:00 às 23:59', 'Quarta-feira - 00:00 às 01:15 - 21:00 às 23:59', 'Quinta-feira - 00:00 às 00:15 - 21:00 às 23:59', 'Sexta-feira - 00:00 às 01:15 - 21:00 às 23:59', 'Sábado - 00:00 às 01:15 - 21:00 às 23:59', 'Domingo - 00:00 às 01:15'];['temaki', 'sashimi', 'especiais', 'pratos quentes', 'bebidas'];;
Barriga Cheia;https://www.ifood.com.br/delivery/igarassu-pe/barriga-cheia-encanto-igarassu/33e7cf2f-1e8e-43a4-b245-31769c10da45;Rua Fim de Semana, 23 - Encanto Igarassu;Igarassu - PE;53620-120;33.992.813/0001-64;['Segunda-feira - 11:00 às 15:00', 'Terça-feira - 11:00 às 15:00', 'Quarta-feira - 11:00 às 15:00', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 11:00 às 15:00', 'Sábado - 11:00 às 15:00', 'Domingo - 11:00 às 15:00'];['almoços', 'bebidas'];;
Burger Três Irmãos;https://www.ifood.com.br/delivery/igarassu-pe/burger-tres-irmaos-umbura/9ec177fd-ccca-46d0-8b7c-794f73afe843;Rua Jabuticabeira, 1 - Umbura;Igarassu - PE;53625-579;31.245.769/0001-01;['Segunda-feira - 00:00 às 03:00 - 11:00 às 15:00 - 18:00 às 23:59', 'Terça-feira - 00:00 às 02:00 - 11:00 às 15:00 - 18:00 às 23:59', 'Quarta-feira - 00:00 às 02:00 - 11:00 às 15:00 - 18:00 às 23:59', 'Quinta-feira - 00:00 às 02:00 - 11:00 às 15:00 - 18:00 às 23:59', 'Sexta-feira - 00:00 às 02:00 - 11:00 às 15:00 - 18:00 às 23:59', 'Sábado - 00:00 às 02:00 - 11:00 às 15:00 - 18:00 às 23:59', 'Domingo - 00:00 às 02:00 - 11:00 às 15:00 - 18:00 às 23:59'];['combo', 'hambúrguer', 'galeto', 'bebidas'];;
Laricas Burguer;https://www.ifood.com.br/delivery/igarassu-pe/laricas-burguer-monjope/ba320d63-a71e-4af2-be73-0db4888ac737;Rua Maria das Neves, 12 - Monjope;Igarassu - PE;53645-050;43.864.943/0001-75;['Segunda-feira - 00:00 às 02:00 - 18:00 às 23:59', 'Terça-feira - 00:00 às 02:00 - 17:30 às 23:59', 'Quarta-feira - 00:00 às 02:00 - 17:30 às 23:59', 'Quinta-feira - 00:00 às 02:00 - 17:30 às 23:59', 'Sexta-feira - 00:00 às 02:00 - 11:00 às 15:00 - 17:30 às 23:59', 'Sábado - 00:00 às 02:00 - 17:30 às 23:59', 'Domingo - 00:00 às 02:00 - 17:30 às 23:59'];['hambúrgueres artesanais', 'hambúrgueres industriais', 'açaí', 'refrigerantes'];;
Pizzaria Varanda;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-varanda-cruz-do-reboucas/c9ebd694-cab7-4700-b750-5c8c9a68b785;Rua Luciana Paiva de Souza, 25 - Cruz do Rebouças;Igarassu - PE;53635-170;32.239.826/0001-02;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - 17:00 às 18:00'];['tradicionais', 'especiais', 'doces', 'pastelões', 'petiscos', 'bebidas'];;
Espetinho da Josi;https://www.ifood.com.br/delivery/igarassu-pe/espetinho-da-josi-inhama/02b342bb-6954-4751-9f84-3e587941dfa4;Rua Frei Miguelinho, 9 - Inhamã;Igarassu - PE;53625-813;46.782.293/0001-07;['Segunda-feira - Não abre', 'Terça-feira - 16:00 às 23:00', 'Quarta-feira - 16:00 às 23:00', 'Quinta-feira - 16:00 às 23:00', 'Sexta-feira - 16:00 às 23:00', 'Sábado - 16:00 às 23:00', 'Domingo - 16:00 às 23:00'];['cupom de 10 reais!!!!', 'espetinhos', 'refrigerantes', 'cervejas'];;
Delicias da Gente - Cupom 10$;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-gente---cupom-10-inhama/5a9ca929-8dd3-4402-82b8-62cbfa497741;Rua Frei Miguelinho, 299 - Inhamã;Igarassu - PE;53625-813;38.948.955/0001-48;['Segunda-feira - 11:00 às 21:00', 'Terça-feira - 11:00 às 21:00', 'Quarta-feira - 11:00 às 21:00', 'Quinta-feira - 11:00 às 21:00', 'Sexta-feira - 11:00 às 21:00', 'Sábado - 11:00 às 21:00', 'Domingo - 11:00 às 21:00'];['lanches'];;
Evinho Burger;https://www.ifood.com.br/delivery/igarassu-pe/evinho-burger-encanto-igarassu/d28ef769-60ea-4055-b69b-165bcc500a94;Rua Tente Esquecer, 40 - Encanto Igarassu;Igarassu - PE;53620-095;42.051.945/0001-82;['Segunda-feira - 19:00 às 23:15', 'Terça-feira - 16:45 às 22:30', 'Quarta-feira - 16:45 às 22:30', 'Quinta-feira - 16:45 às 22:30', 'Sexta-feira - 16:45 às 22:30', 'Sábado - 18:00 às 22:30', 'Domingo - 18:00 às 22:30'];['combos + refrigerante', 'hambúrgueres'];;
Point dos Sabores Lanches Diversos;https://www.ifood.com.br/delivery/igarassu-pe/point-dos-sabores-lanches-diversos-encanto-igarassu/ee0e9352-fac2-446d-a197-e75f47e31661;Avenida Maria Rita, 22 - Encanto Igarassu;Igarassu - PE;53620-200;48.563.863/0001-01;['Segunda-feira - 15:00 às 23:00', 'Terça-feira - 15:00 às 22:30', 'Quarta-feira - 15:00 às 22:30', 'Quinta-feira - 15:00 às 22:30', 'Sexta-feira - 15:00 às 22:30', 'Sábado - 16:00 às 22:30', 'Domingo - 15:15 às 22:30'];['açaí', 'bombom no pote', 'salada de frutas'];;
Brotherpizzas;https://www.ifood.com.br/delivery/igarassu-pe/brotherpizzas-santa-maria/b7c357a7-cb79-44b5-939f-15978dcbc8fe;Rua João Cavalcanti, 385 - Santa Maria;Igarassu - PE;53635-060;38.422.743/0001-22;['Segunda-feira - 18:00 às 22:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 22:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['pizzas s borda', 'pizzas c borda', 'pizzas artesanais'];;
Lá de Casa Delivery;https://www.ifood.com.br/delivery/igarassu-pe/la-de-casa-delivery-cruz-de-reboucas/b2299a0d-e01f-478c-bba2-f7230551cab6;Rua Guabiraba, 250 - Cruz de Rebouças;Igarassu - PE;53600-000;31.832.964/0001-20;['Segunda-feira - 08:00 às 14:00', 'Terça-feira - 08:00 às 14:00', 'Quarta-feira - 08:00 às 14:00', 'Quinta-feira - 08:00 às 14:00', 'Sexta-feira - 08:00 às 14:00', 'Sábado - 08:00 às 14:00', 'Domingo - 08:00 às 15:00'];['atenção'];;
Restaurante Bom Gosto;https://www.ifood.com.br/delivery/igarassu-pe/restaurante-bom-gosto-cruz-do-reboucas/1df483cb-793d-4496-b598-dc9d64022934;Rua Santo Antônio, 623 - Cruz do Rebouças;Igarassu - PE;53635-070;36.891.553/0001-29;['Segunda-feira - 11:00 às 14:00', 'Terça-feira - 11:00 às 14:00', 'Quarta-feira - 11:00 às 14:00', 'Quinta-feira - 11:00 às 14:00', 'Sexta-feira - 11:00 às 14:00', 'Sábado - 10:45 às 14:00', 'Domingo - Não abre'];['refrigerantes'];;
Acarajé Tem Dendê Visse?;https://www.ifood.com.br/delivery/igarassu-pe/acaraje-tem-dende-visse--cruz-do-reboucas/2b920e90-0e46-4faf-bcf0-8fa92fc6767b;Rua João Cavalcanti, 383 - Cruz do Rebouças;Igarassu - PE;53635-060;37.007.693/0001-54;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - 17:00 às 22:00', 'Sábado - 17:00 às 22:00', 'Domingo - 17:00 às 22:00'];['acarajé - combo', 'acarajé - kit família', 'acarajé tradicional', 'bebidas'];;
Galeto do Tony;https://www.ifood.com.br/delivery/igarassu-pe/galeto-do-tony-cruz-do-reboucas/da835e3e-4325-4cce-b915-b5e528e071bd;Avenida José de Holanda, 114 - Cruz do Rebouças;Igarassu - PE;53635-085;35.612.669/0001-19;['Segunda-feira - Não abre', 'Terça-feira - 11:00 às 15:00', 'Quarta-feira - 11:00 às 15:00', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 11:00 às 15:00', 'Sábado - 10:00 às 15:00', 'Domingo - 10:00 às 15:00'];['frango a moda da casa', 'galeto inteiro simples', 'quentinha com bife acebolado, completo.', 'quentinha com galeto, completo.', 'quentinha com galeto, completo. (g)', 'marmita de fígado acebolado', 'marmita c/fígado acebolado e bife aceb.', 'marmita com galeto e bife acebolado'];;
Don Açúcar;https://www.ifood.com.br/delivery/igarassu-pe/don-acucar-inhama/08610048-aa2b-43af-9cb6-a0efcf494412;Rua Frei Miguelinho, 299 - Inhamã;Igarassu - PE;53625-813;35.422.165/0001-36;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 11:00 às 12:00', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['copo da felicidade', 'bolo no pote', 'brownie', 'bombom no pote', 'fatia de bolo', 'tortas', 'pudim', 'delícias', 'salgados'];;
Bentô Cakes_igarassu;https://www.ifood.com.br/delivery/igarassu-pe/bento-cakesigarassu-encanto-igarassu/942a5604-66b5-4d62-926c-1d42cec2d5c1;Rua Calhambeque, 100 - Encanto Igarassu;Igarassu - PE;53620-109;40.333.602/0001-85;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['bebidas', 'cupom'];;
Leleo Pizza;https://www.ifood.com.br/delivery/igarassu-pe/leleo-pizza-bonfim/91927b4e-13be-427b-99fa-6a527d8ea841;Rua Barra da Guabiraba, 93 - Bonfim;Igarassu - PE;53637-070;41.082.783/0001-87;['Segunda-feira - Não abre', 'Terça-feira - 19:45 às 23:15', 'Quarta-feira - 19:45 às 23:15', 'Quinta-feira - 19:45 às 23:15', 'Sexta-feira - 19:45 às 23:15', 'Sábado - 19:45 às 23:15', 'Domingo - 17:00 às 23:15'];['pizzas grandes', 'bebidas'];;
Deposito de Bebidas Lima;https://www.ifood.com.br/delivery/igarassu-pe/deposito-de-bebidas-lima-bonfim/13e11356-9d6f-439e-87e9-017b39946aac;Rua Barra da Guabiraba, 17 - Bonfim;Igarassu - PE;53637-070;38.056.124/0001-61;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['destaques', 'cupom de desconto', 'cervejas', 'bebidas alcoólicas', 'energéticos'];;
Pense Pizza;https://www.ifood.com.br/delivery/igarassu-pe/pense-pizza-inhama/4ba390e5-9c93-4de6-8cb0-5ff6734763d6;Avenida Barão de Vera Cruz, 3 - Inhamã;Igarassu - PE;53625-815;29.101.712/0001-89;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 18:00 às 22:00', 'Quinta-feira - 18:00 às 22:00', 'Sexta-feira - 18:00 às 22:00', 'Sábado - 18:00 às 22:00', 'Domingo - 17:00 às 22:00'];['dica do chefe promoção quarta', 'bebidas'];;
Ranubia Bolos e Lanche;https://www.ifood.com.br/delivery/igarassu-pe/ranubia-bolos-e-lanche-umbura/feacb760-b9a9-47ec-8fe7-20827238627f;Rua das Amoreiras, 7 - Umbura;Igarassu - PE;53625-653;41.297.846/0001-12;['Segunda-feira - Não abre', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['coxinha', 'batata frita', 'açaí'];;
Caseiros;https://www.ifood.com.br/delivery/igarassu-pe/caseiros-cruz-de-reboucas/38e219b9-d941-4627-8025-4e11dab40a27;Av. Santa Catarina, Bonfim 2, 8 - Cruz de Rebouças;Igarassu - PE;53637-225;37.985.858/0001-62;['Segunda-feira - 17:00 às 23:00', 'Terça-feira - 17:00 às 23:00', 'Quarta-feira - 16:30 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 11:00 às 15:00 - 17:00 às 23:00', 'Domingo - 11:00 às 15:00 - 17:00 às 23:00'];['molhos', 'bebidas', 'porção', 'caldinhos'];;
Br Refeicoes- Cupom de R$10,00 Disponível;https://www.ifood.com.br/delivery/igarassu-pe/br-refeicoes--cupom-de-r1000-disponivel-rubina/bc6304f0-f62a-4395-aa12-9ad3388de6d4;Rua Maria Elizabete Soares de Lira, 10 - Rubina;Igarassu - PE;53635-535;48.663.434/0001-06;['Segunda-feira - 11:00 às 15:00', 'Terça-feira - 11:00 às 15:00', 'Quarta-feira - 11:00 às 15:00', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 11:00 às 15:00', 'Sábado - 11:00 às 15:00', 'Domingo - 11:00 às 15:00'];['use o cupom de desconto restnovoevba6q', 'marmitas', 'lanches e salgados', 'sobremesas', 'bebidas'];;
Rw Doceria e Lanches;https://www.ifood.com.br/delivery/igarassu-pe/rw-doceria-e-lanches-inhama/2ad728d3-b7e5-4f59-85f4-6d112ae53d72;Rua Shalon, 28 - Inhamã;Igarassu - PE;53625-831;46.190.364/0001-82;['Segunda-feira - 12:00 às 15:00 - 19:00 às 23:00', 'Terça-feira - 12:00 às 15:00 - 18:00 às 22:00', 'Quarta-feira - 12:00 às 15:00 - 19:00 às 22:00', 'Quinta-feira - 12:00 às 15:00 - 18:00 às 22:00', 'Sexta-feira - 11:00 às 15:00 - 18:00 às 22:00', 'Sábado - 12:00 às 15:00 - 18:00 às 22:00', 'Domingo - 12:00 às 15:00 - 18:00 às 22:00'];['doces e sobremesas'];;
Miss Lanches&sobremesas;https://www.ifood.com.br/delivery/igarassu-pe/miss-lanchessobremesas-rubina/ee3f52ee-9da9-42e9-be03-108595d26134;Rua Acajutiba, 3 - Rubina;Igarassu - PE;53635-555;47.993.966/0001-30;['Segunda-feira - 14:00 às 22:00', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 13:00 às 21:00', 'Sábado - 11:00 às 21:00', 'Domingo - 11:00 às 21:00'];['cupom de desconto', 'sobremesas'];;
Peggiore Pizza;https://www.ifood.com.br/delivery/igarassu-pe/peggiore-pizza-saramandaia/42ea839b-c03f-4cf4-94a2-0f67e70eacdf;Avenida Vinte e Sete de Setembro, 501 - Saramandaia;Igarassu - PE;53620-615;40.195.599/0001-80;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 05:00 às 06:00', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['promoções', 'pizzas', 'hamburgueria', 'batata frita e salgados', 'bebidas'];;
Galeto do Valdir;https://www.ifood.com.br/delivery/igarassu-pe/galeto-do-valdir-cruz-de-reboucas/b874608f-2e65-4591-802b-861a2a73f5d7;Rua Rubina, 900 - Cruz de Rebouças,;Igarassu - PE;53637-550;00.860.453/0001-98;['Segunda-feira - Não abre', 'Terça-feira - 10:00 às 13:30', 'Quarta-feira - 10:00 às 13:30', 'Quinta-feira - 10:00 às 13:30', 'Sexta-feira - 10:00 às 13:30', 'Sábado - 09:00 às 14:00', 'Domingo - 09:00 às 14:00'];['porções completa', 'comidas regionais', 'bebidas', 'almoço executivo'];;
Di sabor pizzaria;https://www.ifood.com.br/delivery/igarassu-pe/di-sabor-pizzaria-santa-maria/0c020253-4b9e-4390-93b5-f8daf8cc7f03;Rua Paraíba, 54 - Santa Maria;Igarassu - PE;53630-115;43.518.700/0001-85;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['bebidas'];;
Lg Lanches e Açaí;https://www.ifood.com.br/delivery/igarassu-pe/lg-lanches-e-acai-saramandaia/5a53ce9e-4b60-4815-8d3d-ac7a32d6e03f;Rua Fábio Correia, 93 - Saramandaia;Igarassu - PE;53620-425;46.795.537/0001-96;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['açai', 'hamburguer', 'salgados e doces', 'pasteis', 'batata frita', 'bebidas'];;
Kony Temakeria e Sushi Bar;https://www.ifood.com.br/delivery/igarassu-pe/kony-temakeria-e-sushi-bar-centro/98586410-eea0-4b01-b26b-d3d8c5c50ec5;Av. Vinte e Sete de Setembro, 761 - Centro;Igarassu - PE;53620-526;34.487.564/0001-12;['Segunda-feira - 18:00 às 23:30', 'Terça-feira - 18:00 às 23:30', 'Quarta-feira - 18:00 às 23:30', 'Quinta-feira - 18:00 às 23:30', 'Sexta-feira - 18:00 às 23:30', 'Sábado - 18:00 às 23:30', 'Domingo - 18:00 às 23:30'];['entradas', 'temakis', 'temakis quentes'];;
Blue Açaiteria & Comedoria;https://www.ifood.com.br/delivery/igarassu-pe/blue-acaiteria--comedoria-saramandaia/255bc8e3-ca2e-48a4-9313-04e7a6f3757b;Rua Vereador Walfrido Uchôa Cavalcante, 369 - Saramandaia;Igarassu - PE;53620-545;39.155.558/0001-81;['Segunda-feira - 18:00 às 22:15', 'Terça-feira - 18:00 às 22:15', 'Quarta-feira - 18:00 às 22:15', 'Quinta-feira - 18:00 às 22:15', 'Sexta-feira - 18:00 às 22:15', 'Sábado - 18:00 às 22:15', 'Domingo - 18:00 às 22:15'];['hamburguer artesanal', 'combos família 01', 'combos família 02', 'refrigerantes'];;
Master Burguer;https://www.ifood.com.br/delivery/igarassu-pe/master-burguer-posto-de-monta/bd841109-25e8-4245-9fca-1e01d2c60462;Rua Austria, 51 - Posto de Monta;Igarassu - PE;53620-666;39.382.972/0001-23;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['entradas', 'hambúrgueres', 'hot dogs', 'combos', 'bebidas', 'cervejas long neck'];;
Dias Sempre Doces;https://www.ifood.com.br/delivery/igarassu-pe/dias-sempre-doces-posto-de-monta/64ce7845-fea4-44bf-bb38-b964559846ee;Rua Austrália, 21 - Posto de Monta;Igarassu - PE;53620-697;45.607.200/0001-45;['Segunda-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Terça-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Quarta-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Quinta-feira - 12:00 às 15:00 - 18:00 às 23:00', 'Sexta-feira - 12:00 às 15:00', 'Sábado - 12:00 às 15:00', 'Domingo - 21:00 às 23:00'];['destaques', 'trufas'];;
Delivery Bom Sabor da Madrugada;https://www.ifood.com.br/delivery/abreu-e-lima-pe/delivery-bom-sabor-da-madrugada-desterro/8fa870a2-4db5-4c51-9d9f-7914b85e34b4;Avenida Tejipió, 320 - Desterro;Abreu e Lima - PE;53570-130;40.419.336/0001-08;['Segunda-feira - 11:00 às 22:00', 'Terça-feira - 11:00 às 14:00', 'Quarta-feira - 11:00 às 14:00', 'Quinta-feira - 11:00 às 22:00', 'Sexta-feira - 08:00 às 22:00', 'Sábado - 08:00 às 22:00', 'Domingo - 08:00 às 22:00'];['galeto'];;
Caminho da Ilha - Aerodromo;https://www.ifood.com.br/delivery/igarassu-pe/caminho-da-ilha---aerodromo-santa-rita/cb26336b-5c32-4439-89c6-ec43d6bde979;Estrada de Nova Cruz, 0 - Santa Rita;Igarassu - PE;53620-804;42.237.129/0001-68;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['regional', 'almoço', 'almoço .', 'bebidas'];;
Vila Gourmet - Coxinha Massa de Batata;https://www.ifood.com.br/delivery/igarassu-pe/vila-gourmet---coxinha-massa-de-batata-areia-branca/262bb772-70aa-4fd3-8410-6f4ec9f7990e;R. José Sebastião de Oliveira, 111 - Areia Branca;Igarassu - PE;53620-650;48.643.924/0001-32;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 16:30 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 15:00 às 17:00', 'Sábado - 17:00 às 23:00', 'Domingo - 15:30 às 23:00'];['coxinha massa de batata', 'bebidas'];;
Comidas Nordestina Pe;https://www.ifood.com.br/delivery/igarassu-pe/comidas-nordestina-pe-saramandaia/32ce7cde-8231-4228-b7c4-d523d24e251c;Avenida Agro Industrial de Igarassu, 109 - Saramandaia;Igarassu - PE;53620-436;45.180.713/0001-12;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - 11:00 às 15:30', 'Domingo - 11:00 às 14:00'];['cupom de desconto', 'bebidas'];;
Kasa dos Doces;https://www.ifood.com.br/delivery/igarassu-pe/kasa-dos-doces-posto-de-monta/0571646f-2214-4730-8a26-4e3029aadcb5;Rua Ceilão, 29 - Posto de Monta;Igarassu - PE;53620-663;45.590.631/0001-46;['Segunda-feira - 12:00 às 17:00', 'Terça-feira - 13:00 às 19:00', 'Quarta-feira - 13:00 às 19:00', 'Quinta-feira - 13:00 às 16:15', 'Sexta-feira - 12:00 às 16:00', 'Sábado - Não abre', 'Domingo - Não abre'];['bolo', 'bombom de uva', 'cupom de desconto!', 'doces'];;
Sacolé da Adri;https://www.ifood.com.br/delivery/igarassu-pe/sacole-da-adri-saramandaia/37b7ad31-d82a-458e-b06e-9efe5b33dec0;Avenida Agro Industrial de Igarassu, 102 - Saramandaia;Igarassu - PE;53620-436;43.722.459/0001-01;['Segunda-feira - 11:00 às 22:00', 'Terça-feira - 11:00 às 22:00', 'Quarta-feira - 11:00 às 22:00', 'Quinta-feira - 11:00 às 22:00', 'Sexta-feira - 11:00 às 22:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 22:00'];['sacolé artesanal', 'delícias gelato'];;
Pitstopburguer;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pitstopburguer-matinha/bd53712c-8a28-4b14-b9b2-bc739e29bb2e;Travessa Rosa Pereira da Cruz, 49 - Matinha;Abreu e Lima - PE;53585-271;37.857.094/0001-20;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['acompanhamentos', 'adicionais', 'bebidas', 'combos', 'hambúrguer'];;
Pape Creppe.;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pape-creppe-matinha/18be9723-69be-42f0-94e3-0988642c7f24;Travessa da Felicidade, 302 - Matinha;Abreu e Lima - PE;53580-521;32.928.101/0001-13;['Segunda-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Terça-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Quarta-feira - Não abre', 'Quinta-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Sexta-feira - 11:00 às 15:00 - 17:00 às 20:00', 'Sábado - Não abre', 'Domingo - Não abre'];['crepes doces', 'crepes  salgados'];;
Burger Nordestino;https://www.ifood.com.br/delivery/abreu-e-lima-pe/burger-nordestino-desterro/5f3e43c7-3f7f-4e32-a538-9f182733340c;Rua Boa Sorte, 160 - Desterro;Abreu e Lima - PE;53570-133;42.250.831/0001-61;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 17:45 às 22:45', 'Quarta-feira - 17:15 às 23:00', 'Quinta-feira - 15:30 às 22:30', 'Sexta-feira - 17:00 às 22:45', 'Sábado - 18:00 às 23:00', 'Domingo - 17:00 às 23:00'];['acompanhamentos'];;
Borges Pizza;https://www.ifood.com.br/delivery/abreu-e-lima-pe/borges-pizza-desterro/e9e83384-4150-4fc3-80e6-4dc97363eb8b;Rua Rosa Pereira da Cruz, 94 - Desterro;Abreu e Lima - PE;53570-255;20.464.463/0001-11;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['pizza', 'clone de pastel', 'clone de pizza'];;
